,Correlation_With_Lag_2,Correlation_With_Lag_3,Correlation_With_Lag_5,polyFit_4Degree_First_Coef,polyFit_4Degree_Sec_Coef,polyFit_4Degree_Third_Coef,polyFit_4Degree_Fourth_Coef,polyFit_4Degree_Five_Coef,polyFit_2Degree_First_Coef,polyFit_2Degree_Sec_Coef,polyFit_2Degree_Third_Coef,polyFit_3Degree_First_Coef,polyFit_3Degree_Sec_Coef,polyFit_3Degree_Third_Coef,polyFit_3Degree_Fourth_Coef,polyFit_1Degree_First_Coef,polyFit_1Degree_Sec_Coef,velocity_for_roll_3,velocity_for_roll_4,velocity_for_roll_5,velocity_for_roll_6,max_Velocity_Time,PSD_First_Peak,PSD_Sec_Peak,PSD_Third_Peak,PSD_Fourth_Peak,PSD_Fifth_Peak,PSD_Sixth_Peak,PSD_seventh_Peak,PSD_eight_Peak,Avg_Time_To_Reach_Peak_Where_Meal_Was_Detec,Correlation_With_Lag_4,Correlation_With_Lag_6,Correlation_With_Lag_8,windowed_mean_1,windowed_mean_2,windowed_mean_3,windowed_mean_4,windowed_mean_5,windowed_var_1,windowed_var_2,windowed_var_3,windowed_var_4,windowed_var_5
0,0.9850410135969762,0.9683448291133888,0.9203635990987081,1.0507407835857348e-15,3.8731650879191774e-10,6.188558511193578e-11,-210.50700688798904,-310382313.49680734,0.0014276980417875617,7.589237414471652e-05,-775955894.3777486,1.161949440728673e-09,0.0002855396502490167,-210.5070056715973,-465573504.2093272,2105.070967122349,-1551911896.1726835,3.3333333333333335,3.3,3.24,3.1333333333333333,15.0,26998416.0,1821032.4423581578,1821032.4423581578,118524.64443001185,118524.64443001185,100354.29252031093,100354.29252031093,40015.81854534814,-0.019409723,0.9465974347860041,0.891324170400079,0.821124425602405,93.9,107.5,154.7,212.8,245.4,13.089999999999998,278.45,1659.41,674.3600000000002,165.43999999999997
1,0.7978727971686111,0.7189856258815334,0.48533027425613245,3.3605037511302606e-16,8.258087551594355e-11,-6.087979063188789e-05,-134.64516341702753,5.4864714913798655e-08,0.0006088002243213391,-448.8178102183457,-4.282124090833066e-08,4.129038867141578e-10,1.8841880889297752e-10,-224.4087554475052,-2.141062045416533e-07,0.00041629503479277105,-1.649641489417847e-05,16.333333333333332,13.05,10.76,9.166666666666666,15.0,84768849.0,1161877.1725372374,1161877.1725372374,146527.636660882,146527.636660882,99789.78402004625,99789.78402004625,80339.94030041796,-0.048703704,0.5989398744531167,0.3581754238149415,0.020120490988493594,238.6,313.3,344.0,339.9,312.1,7050.440000000001,874.01,61.6,116.09,536.29
2,0.9266609650659191,0.8977082004282066,0.8161186892095506,1.3467039969440558e-15,3.3093755050486177e-10,-0.00024397244331639793,-539.5816659575527,2.060772218713413e-07,0.0024397258829551944,-1798.6059138934195,8.564248181666132e-07,1.6546874319895397e-09,1.2010659640607187e-10,-899.3028668595796,5.566761318082986e-07,0.0002648702717872265,-6.610826507066356e-05,8.2,6.2,5.04,4.233333333333333,15.0,34316164.0,1619474.272004475,1619474.272004475,97904.96454299592,97904.96454299592,93089.3107978371,93089.3107978371,50236.7045772671,737215.52,0.8602490872181795,0.7699807257603943,0.6651455872324893,114.8,139.5,186.6,246.4,261.2,1485.36,189.25,1753.64,618.6399999999999,119.56
3,0.9743241732795597,0.9461354313579362,0.8641084774796741,8.461570016626468e-16,3.119000743087848e-10,5.572523419589694e-11,-169.51346744399945,-249935948.52801776,0.0011496878282923888,6.773530733807411e-05,-624839969.2094992,9.357001472355254e-10,0.00022993760339305597,-169.5134678126047,-374903952.0936041,1695.1354790279343,-1249680032.726163,3.8666666666666667,3.5,3.36,3.2333333333333334,15.0,21893041.0,1272541.251040424,1272541.251040424,84434.13390530378,84434.13390530378,26037.36760083233,26037.36760083233,24636.75898556115,737201.537,0.9092927738885666,0.8126237966390476,0.7032775763169119,93.3,97.2,137.0,191.1,214.8,3.4099999999999997,83.76,1494.6,533.2900000000002,47.96
4,0.6962452331678701,0.6604965252838617,0.5408450094243585,2.391608188326162e-16,5.87699676233591e-11,-4.332517850925556e-05,-95.81826227689757,-2.475602990012866e-08,0.0004332528603214762,-319.3944807771766,0.0,2.9384960568403884e-10,8.794640016245918e-11,-159.6971720690939,-2.6763275567706662e-08,0.0001946550631371303,-1.1739677967837739e-05,8.0,6.0,4.8,4.0,15.0,18533025.0,212710.13172204111,212710.13172204111,23026.95423223206,23026.95423223206,17847.084991389354,17847.084991389354,17443.577329059368,737196.555,0.6037098212279045,0.47629472423670105,0.34378503327736865,109.3,135.9,157.2,160.9,150.3,1333.0099999999998,250.09,100.55999999999996,15.89,67.01000000000002
5,0.9728390999182748,0.9425189594932741,0.8573343708497358,8.411647266947706e-16,3.100519090018689e-10,5.82204069462443e-11,-168.50034027236376,-248435772.55736035,0.001142845953315277,7.150009341945807e-05,-621089540.0487148,9.301556495679933e-10,0.00022856922859546748,-168.5003405993728,-372653691.12830126,1685.0042788372687,-1242179191.3940322,3.533333333333333,3.35,3.2,3.1,15.0,24196561.0,1317715.6204891552,1317715.6204891552,57924.033059141744,57924.033059141744,42384.573336156755,42384.573336156755,23460.38519785812,737140.534,0.9039831809943237,0.8031078628989219,0.6798986564946684,92.0,111.5,161.4,208.5,217.2,19.6,500.85,1571.64,270.45,20.96
6,0.8631118327475616,0.8188585444819719,0.704119200070983,7.438618645885788e-16,1.8277697010040286e-10,-0.00013473218332669658,-297.94975748405074,-1.3649270539530397e-07,0.0013473228832987616,-993.1661199341421,7.707823363499518e-07,9.13884617177557e-10,8.687537272509651e-11,-496.5829945477968,-5.3526551135413324e-08,0.00019218411891876844,-3.651224953684515e-05,6.666666666666667,5.2,4.36,3.6666666666666665,15.0,18062500.0,518766.4491292741,518766.4491292741,56873.28108977683,56873.28108977683,39083.53136522061,39083.53136522061,35591.09959016926,737120.52,0.7640242173461244,0.6505376155857933,0.5447836624951767,95.5,109.4,134.9,173.1,178.2,1038.45,80.04,819.49,163.29000000000005,49.96
7,0.9517701428321715,0.9330678516467886,0.880108565569334,1.3640753955242088e-15,3.351627194165151e-10,-0.00024705517729210915,-546.3284283013201,2.997486863583146e-07,0.0024705528952987128,-1821.0950310455025,3.4256992726664526e-07,1.6758133385366265e-09,9.50438757990356e-11,-910.5474481958377,5.994973727166292e-07,0.00020851416370722253,-6.694357124705275e-05,6.333333333333333,4.7,3.76,3.1333333333333333,15.0,21261321.0,1344670.2106611507,1344670.2106611507,92452.28526379395,92452.28526379395,84584.79057900651,84584.79057900651,48342.46837009836,737117.52,0.9099563354536992,0.8464037504304783,0.7790218559121874,83.9,97.9,133.8,188.6,220.6,783.49,83.49,1131.1600000000005,764.2400000000001,100.64
8,0.9794141531487307,0.9578599942122125,0.9066437304713821,5.237166264516628e-16,1.9302038651654992e-10,5.3105771898951856e-11,-104.87605047043245,-154611977.26579663,0.0007113935002106974,6.43927721053648e-05,-386530039.71140516,5.790610880808007e-10,0.0001422787354573074,-104.87605072889504,-231917995.08217305,1048.7612901452424,-773060176.8001101,2.2,2.05,1.88,1.7666666666666666,15.0,20052484.0,435747.9900510805,435747.9900510805,43630.69028530991,43630.69028530991,22554.317411161464,22554.317411161464,8350.42965159786,737112.524,0.9329676930792962,0.8805197577317397,0.8208296009601238,105.3,116.8,143.8,170.2,180.0,36.21,103.36,500.36,72.95999999999998,16.4
9,0.7036195332972671,0.6149878232262375,0.3949351762083624,1.144217331164648e-16,2.8113961429702617e-11,-2.0723011874732322e-05,-45.8256790428536,2.8435980290688328e-08,0.00020723128035006447,-152.7525642921698,3.211593068124799e-08,1.405695624453092e-10,9.415080547723915e-11,-76.37620694550023,-9.367146448697331e-09,0.00020819978917051288,-5.6208612975333685e-06,8.6,6.45,5.16,4.266666666666667,15.0,21196816.0,364631.520624656,364631.520624656,23454.485797160647,23454.485797160647,19980.714080033133,19980.714080033133,19950.41431463503,737107.58,0.5147940244793111,0.25929916617730103,-0.19044356679935007,119.7,151.2,177.6,175.9,149.7,1667.0099999999993,330.16,223.84,287.69,248.00999999999996
